CustomerID,Lookalikes
C0001,"[('C0137', 0.9697), ('C0103', 0.9658), ('C0191', 0.9409)]"
C0002,"[('C0029', 0.9998), ('C0077', 0.9939), ('C0025', 0.989)]"
C0003,"[('C0010', 0.9551), ('C0111', 0.9327), ('C0176', 0.928)]"
C0004,"[('C0075', 0.9971), ('C0068', 0.9852), ('C0175', 0.9849)]"
C0005,"[('C0130', 0.998), ('C0128', 0.9968), ('C0020', 0.9964)]"
C0006,"[('C0196', 0.9952), ('C0079', 0.9882), ('C0168', 0.9757)]"
C0007,"[('C0125', 0.997), ('C0085', 0.9967), ('C0078', 0.9893)]"
C0008,"[('C0179', 0.9917), ('C0090', 0.984), ('C0084', 0.9636)]"
C0009,"[('C0192', 0.9984), ('C0128', 0.9864), ('C0061', 0.9738)]"
C0010,"[('C0142', 0.985), ('C0121', 0.9744), ('C0094', 0.9668)]"
C0011,"[('C0023', 0.9934), ('C0100', 0.9668), ('C0064', 0.9505)]"
C0012,"[('C0045', 0.9957), ('C0143', 0.9943), ('C0041', 0.993)]"
C0013,"[('C0059', 0.998), ('C0141', 0.997), ('C0104', 0.9942)]"
C0014,"[('C0097', 0.998), ('C0036', 0.9959), ('C0063', 0.9942)]"
C0015,"[('C0058', 0.9991), ('C0186', 0.9958), ('C0131', 0.9942)]"
C0016,"[('C0107', 0.9963), ('C0048', 0.9873), ('C0187', 0.9723)]"
C0017,"[('C0084', 0.9956), ('C0109', 0.9839), ('C0075', 0.9838)]"
C0018,"[('C0165', 0.984), ('C0182', 0.9629), ('C0143', 0.9472)]"
C0019,"[('C0172', 0.9451), ('C0088', 0.8727), ('C0119', 0.8353)]"
C0020,"[('C0167', 0.9996), ('C0130', 0.9977), ('C0005', 0.9964)]"
